機器番号,型式,製造番号,機器分類,簡易表示,部署名
DC-6042,OTX-TUP-C035J,9,検査機器,OTX-TUP-C035J,管理部
DC-6207,OTX-TUP-C035J,92,検査機器,OTX-TUP-C035J,管理部
DC-10540,OTX-TUP-C035J,437,検査機器,OTX-TUP-C035J,管理部
なし,OTX-TUP-CO35J,1902250037,検査機器,OTX-TUP-CO35J,管理部
なし,P225G,111741,モニタ,P225G,管理部
なし,P256,32136,検査機器,P256,管理部
なし,P310C,5366,モニタ,P310C,管理部
なし,P311C,28844,モニタ,P311C,管理部
なし,P-740,81179D　①,AED,P-740,神奈川GP
なし,P-740,81179D　②,AED,P-740,神奈川GP
なし,P-740,81179D　③,AED,P-740,神奈川GP
なし,P-740,81179D　④,AED,P-740,神奈川GP
なし,P-740,81179D　⑤,AED,P-740,厚木MMG
なし,P-740,81179D　⑥,AED,P-740,厚木MMG
DC-7190,PLS-1100,187,AED,PLS-1100,管理部
DC-7192,PLS-1100,189,AED,PLS-1100,管理部
DC-7193,PLS-1100,190,AED,PLS-1100,静岡
DC-7247,PLS-1100,234,AED,PLS-1100,管理部
DC-7250,PLS-1100,237,AED,PLS-1100,管理部
DC-7251,PLS-1100,238,AED,PLS-1100,管理部
DC-7252,PLS-1100,239,AED,PLS-1100,管理部
DC-7253,PLS-1100,240,AED,PLS-1100,管理部
なし,PRM-1120,6,検査機器,PRM-1120,システム
なし,PRM-3000,-,検査機器,PRM-3000,システム
DC-6374,PVM-4763-Q20,87,モニタ,PVM-4763-Q20,管理部
DC-6375,PVM-4763-Q20,88,モニタ,PVM-4763-Q20,管理部
DC-6376,PVM-4763-Q20,89,モニタ,PVM-4763-Q20,平塚
DC-6377,PVM-4763-Q20,90,モニタ,PVM-4763-Q20,三島
DC-6378,PVM-4763-Q20,91,モニタ,PVM-4763-Q20,静岡
